,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
427,Adesh Prasad,Tumbbad,1691980.0,1691980.0,1691980.0,82.0,82.0,82.0
428,Jon Cassar,Forsaken,,,,64.0,64.0,64.0
429,Gerard Johnson,Muscle,1078.0,1078.0,1078.0,60.0,60.0,60.0
430,Fernando Di Leo,"Seduction, To Be Twenty",,,,60.0,59.0,59.5
431,Sylvie Verheyde,Madame Claude,,,,54.0,54.0,54.0
432,Rouben Mamoulian,"Laura, Dr. Jekyll and Mr. Hyde",16615.0,151.0,8383.0,79.0,76.0,77.5
433,Jared Bush,"Encanto, Zootopia",1025521689.0,256786742.0,641154215.5,80.0,72.0,76.0
434,Julianna Lavin,Live Nude Girls,23808.0,23808.0,23808.0,52.0,52.0,52.0
435,Ken Hughes,"Casino Royale, Chitty Chitty Bang Bang",7500445.0,2324.0,3751384.5,69.0,50.0,59.5
436,Jim Sheridan,"Brothers, In the Name of the Father, My Left Foot, Get Rich or Die Tryin', Dream House, The Boxer",65796862.0,14743391.0,37849628.333333336,81.0,54.0,69.0
437,Richard Quine,Bell Book and Candle,125.0,125.0,125.0,68.0,68.0,68.0
438,Guillermo Arriaga,The Burning Plain,5642478.0,5642478.0,5642478.0,67.0,67.0,67.0
439,James Gartner,Glory Road,42938449.0,42938449.0,42938449.0,72.0,72.0,72.0
440,Tetsuro Kodama,Dragon Ball Super: Super Hero,86562140.0,86562140.0,86562140.0,71.0,71.0,71.0
441,Nicole Newnham,The Disappearance of Shere Hite,20610.0,20610.0,20610.0,83.0,83.0,83.0
442,Paul Weiland,Made of Honor,106407672.0,106407672.0,106407672.0,58.0,58.0,58.0
443,Jim Mickle,"In the Shadow of the Moon, We Are What We Are",159047.0,159047.0,159047.0,62.0,59.0,60.5
444,Clea DuVall,Happiest Season,2110618.0,2110618.0,2110618.0,66.0,66.0,66.0
445,Gil Junger,"Think Like a Dog, 10 Things I Hate About You",53479734.0,1239498.0,27359616.0,73.0,52.0,62.5
446,Michael Powell,"The Red Shoes, A Matter of Life and Death, Black Narcissus, Peeping Tom, Age of Consent, The Thief of Bagdad",154038.0,30846.0,90454.25,81.0,63.0,75.16666666666667
447,Lee Jung-jae,Hunt,33821338.0,33821338.0,33821338.0,67.0,67.0,67.0
448,Mary Agnes Donoghue,Jenny's Wedding,42927.0,42927.0,42927.0,56.0,56.0,56.0
449,Stewart Hendler,Sorority Row,27206120.0,27206120.0,27206120.0,51.0,51.0,51.0
450,Aitch Alberto,Aristotle and Dante Discover the Secrets of the Universe,407838.0,407838.0,407838.0,73.0,73.0,73.0
451,Sam Taylor-Johnson,"Fifty Shades of Grey, Nowhere Boy, Back to Black",569651467.0,6577779.0,288114623.0,71.0,42.0,56.5
452,Sebastián Schindel,The Wrath of God,,,,58.0,58.0,58.0
453,Gigi Saul Guerrero,Satanic Hispanics,16288.0,16288.0,16288.0,57.0,57.0,57.0
454,Michael Mohan,The Voyeurs,,,,61.0,61.0,61.0
455,Sam Miller,No Good Deed,54323210.0,54323210.0,54323210.0,56.0,56.0,56.0
456,Raoul Peck,Silver Dollar Road,,,,64.0,64.0,64.0
457,Jessie Nelson,"Love the Coopers, I Am Sam",97818139.0,42426912.0,70122525.5,76.0,58.0,67.0
458,Alex Brewer,The Trust,321650.0,321650.0,321650.0,54.0,54.0,54.0
459,John Ainslie,Do Not Disturb,,,,75.0,75.0,75.0
460,Boots Riley,Sorry to Bother You,18170707.0,18170707.0,18170707.0,69.0,69.0,69.0
461,Robbie Banfitch,The Outwaters,83999.0,83999.0,83999.0,40.0,40.0,40.0
462,Dominic Sena,"Gone in 60 Seconds, Kalifornia, Swordfish, Season of the Witch, Whiteout",237202299.0,2395231.0,99256367.6,67.0,54.0,61.2
463,Ernest R. Dickerson,"Juice, Tales from the Crypt: Demon Knight, Surviving the Game",21089146.0,7727256.0,16321094.0,70.0,62.0,66.33333333333333
464,Daniel di Grado,Oracle,,,,49.0,49.0,49.0
465,Terry Miles,Even Lambs Have Teeth,,,,52.0,52.0,52.0
466,Kelsey Mann,Inside Out 2,,,,,,
467,Kurt Neumann,The Fly,1501.0,1501.0,1501.0,71.0,71.0,71.0
468,Chris Robinson,Shooting Stars,,,,65.0,65.0,65.0
469,Ari Novak,Kill Shot,975.0,975.0,975.0,48.0,48.0,48.0
470,Daniel Barnz,"Cake, Beastly",43202283.0,2433850.0,22818066.5,64.0,55.0,59.5
471,Nick Riedell,A Nice Girl Like You,771222.0,771222.0,771222.0,51.0,51.0,51.0
472,Tommy Wirkola,"Violent Night, What Happened to Monday, Hansel & Gretel: Witch Hunters, The Trip, Dead Snow",226349749.0,2166797.0,83124095.0,69.0,61.0,65.6
473,Makoto Shinkai,"Weathering with You, The Garden of Words, Suzume, 5 Centimeters per Second, Your Name.",382238181.0,438995.0,150318249.2,84.0,74.0,77.0
474,Frank Oz,"Little Shop of Horrors, The Stepford Wives, Dirty Rotten Scoundrels, Death at a Funeral, The Dark Crystal, In & Out, What About Bob?, The Score, Bowfinger, The Muppets Take Manhattan",113579918.0,25534703.0,63816791.5,74.0,53.0,67.7
475,Carl Rinsch,47 Ronin,151783839.0,151783839.0,151783839.0,62.0,62.0,62.0
